BRAND,YEAR_WEEK,YEAR,PRICE,AVERAGE
fast_duck,201827,2018,19.250757002201148,19.10838302316964
fast_duck,201828,2018,19.23623228799985,19.10838302316964
fast_duck,201829,2018,19.280486948387605,19.10838302316964
fast_duck,201830,2018,19.176567825724234,19.10838302316964
fast_duck,201831,2018,19.145864370672502,19.10838302316964
fast_duck,201832,2018,19.22894257955771,19.10838302316964
fast_duck,201833,2018,19.19550334310168,19.10838302316964
fast_duck,201834,2018,19.195804889908896,19.10838302316964
fast_duck,201835,2018,19.19443425528136,19.10838302316964
fast_duck,201836,2018,19.233262319190292,19.10838302316964
fast_duck,201837,2018,19.226972026825198,19.10838302316964
fast_duck,201838,2018,19.208057498046767,19.10838302316964
fast_duck,201839,2018,18.920110584347015,19.10838302316964
fast_duck,201840,2018,18.93800349755186,19.10838302316964
fast_duck,201841,2018,19.052258296619726,19.10838302316964
fast_duck,201842,2018,18.967322589449523,19.10838302316964
fast_duck,201843,2018,18.969559404052074,19.10838302316964
fast_duck,201844,2018,19.176405786212147,19.10838302316964
fast_duck,201845,2018,19.04917490979306,19.10838302316964
fast_duck,201846,2018,19.168504608726412,19.10838302316964
fast_duck,201847,2018,19.079395352894704,19.10838302316964
fast_duck,201848,2018,19.083542166635347,19.10838302316964
fast_duck,201849,2018,18.909484026997838,19.10838302316964
fast_duck,201850,2018,18.984608360003893,19.10838302316964
fast_duck,201851,2018,18.9456170793439,19.10838302316964
fast_duck,201852,2018,19.001086592885862,19.10838302316964
fast_duck,201901,2019,19.170545744911813,20.565553531718653
fast_duck,201902,2019,18.807848546309568,20.565553531718653
fast_duck,201903,2019,19.168229771918636,20.565553531718653
fast_duck,201904,2019,19.185491945347685,20.565553531718653
fast_duck,201905,2019,19.521972261330617,20.565553531718653
fast_duck,201906,2019,20.443085628473554,20.565553531718653
fast_duck,201907,2019,20.681571503465282,20.565553531718653
fast_duck,201908,2019,20.705655791582256,20.565553531718653
fast_duck,201909,2019,20.703873890552565,20.565553531718653
fast_duck,201910,2019,20.609747333869148,20.565553531718653
fast_duck,201911,2019,20.703566534500542,20.565553531718653
fast_duck,201912,2019,20.774931343305337,20.565553531718653
fast_duck,201913,2019,20.758249730812917,20.565553531718653
fast_duck,201914,2019,20.740052886155446,20.565553531718653
fast_duck,201915,2019,20.701056607455694,20.565553531718653
fast_duck,201916,2019,20.66953914018477,20.565553531718653
fast_duck,201917,2019,20.71910899580832,20.565553531718653
fast_duck,201918,2019,20.693874920191483,20.565553531718653
fast_duck,201919,2019,20.740190539771437,20.565553531718653
fast_duck,201920,2019,20.827622500864447,20.565553531718653
fast_duck,201921,2019,20.717062870479115,20.565553531718653
fast_duck,201922,2019,20.756675230114993,20.565553531718653
fast_duck,201923,2019,20.511125911042594,20.565553531718653
fast_duck,201924,2019,20.75815605495964,20.565553531718653
fast_duck,201925,2019,20.799898105586063,20.565553531718653
fast_duck,201926,2019,20.830423900041215,20.565553531718653
fast_duck,201927,2019,20.868612892829876,20.565553531718653
fast_duck,201928,2019,20.85497873905655,20.565553531718653
fast_duck,201929,2019,20.81094752203101,20.565553531718653
fast_duck,201930,2019,20.80252722269494,20.565553531718653
fast_duck,201931,2019,20.731692769593003,20.565553531718653
fast_duck,201932,2019,20.762737640637173,20.565553531718653
fast_duck,201933,2019,20.768997104698276,20.565553531718653
fast_duck,201934,2019,20.782674602826006,20.565553531718653
fast_duck,201935,2019,20.802821754464656,20.565553531718653
fast_duck,201936,2019,20.80788435508234,20.565553531718653
fast_duck,201937,2019,20.771237145482957,20.565553531718653
fast_duck,201938,2019,20.71721104695631,20.565553531718653
fast_duck,201939,2019,20.640536819060006,20.565553531718653
fast_duck,201940,2019,20.695720352568443,20.565553531718653
fast_duck,201941,2019,20.758153339785665,20.565553531718653
fast_duck,201942,2019,20.633452960887364,20.565553531718653
fast_duck,201943,2019,20.77223046088718,20.565553531718653
fast_duck,201944,2019,20.59352972557336,20.565553531718653
fast_duck,201945,2019,20.61054875596039,20.565553531718653
fast_duck,201946,2019,20.695968762377994,20.565553531718653
fast_duck,201947,2019,20.721397941623263,20.565553531718653
fast_duck,201948,2019,20.547321269445806,20.565553531718653
fast_duck,201949,2019,20.6318670048111,20.565553531718653
fast_duck,201950,2019,20.628861757864616,20.565553531718653
fast_duck,201951,2019,20.622224869871012,20.565553531718653
fast_duck,201952,2019,20.67508914326565,20.565553531718653
fast_duck,202001,2020,20.784985183862776,20.828901701928498
fast_duck,202002,2020,20.490016893629132,20.828901701928498
fast_duck,202003,2020,20.699070414274356,20.828901701928498
fast_duck,202004,2020,20.74673651593306,20.828901701928498
fast_duck,202005,2020,20.79070198988038,20.828901701928498
fast_duck,202006,2020,20.855225988700564,20.828901701928498
fast_duck,202007,2020,20.916085202145695,20.828901701928498
fast_duck,202008,2020,20.92788050593467,20.828901701928498
fast_duck,202009,2020,20.92756793897388,20.828901701928498
fast_duck,202010,2020,20.847156914113118,20.828901701928498
fast_duck,202011,2020,20.873097293171867,20.828901701928498
fast_duck,202012,2020,20.922614275552668,20.828901701928498
fast_duck,202013,2020,20.933528440972605,20.828901701928498
fast_duck,202014,2020,20.845724652875912,20.828901701928498
fast_duck,202015,2020,20.823621510207314,20.828901701928498
fast_duck,202016,2020,20.87442689754378,20.828901701928498
fast_duck,202017,2020,20.894690466192884,20.828901701928498
fast_duck,202018,2020,20.877326404440694,20.828901701928498
fast_duck,202019,2020,20.893065057177562,20.828901701928498
fast_duck,202020,2020,20.859494374284434,20.828901701928498
fast_duck,202021,2020,20.882320854613297,20.828901701928498
fast_duck,202022,2020,20.92323259780291,20.828901701928498
fast_duck,202023,2020,20.61990948437285,20.828901701928498
fast_duck,202024,2020,20.81312444917965,20.828901701928498
fast_duck,202025,2020,20.880382449725225,20.828901701928498
fast_duck,202026,2020,20.918924067497635,20.828901701928498
fast_duck,202027,2020,20.91580001070983,20.828901701928498
fast_duck,202028,2020,20.939186172249343,20.828901701928498
fast_duck,202029,2020,20.951464899325895,20.828901701928498
fast_duck,202030,2020,20.936968992631893,20.828901701928498
fast_duck,202031,2020,20.830303357173513,20.828901701928498
fast_duck,202032,2020,20.86665438231154,20.828901701928498
fast_duck,202033,2020,20.905902435365213,20.828901701928498
fast_duck,202034,2020,20.869497043675207,20.828901701928498
fast_duck,202035,2020,20.80976303300064,20.828901701928498
fast_duck,202036,2020,20.87409028650752,20.828901701928498
fast_duck,202037,2020,20.87165962432158,20.828901701928498
fast_duck,202038,2020,20.962728547376248,20.828901701928498
fast_duck,202039,2020,20.736893179505802,20.828901701928498
fast_duck,202040,2020,20.789194663143732,20.828901701928498
fast_duck,202041,2020,20.83736523185355,20.828901701928498
fast_duck,202042,2020,20.843565798767592,20.828901701928498
fast_duck,202043,2020,20.745285280094965,20.828901701928498
fast_duck,202044,2020,20.73527302781793,20.828901701928498
fast_duck,202045,2020,20.676484947352957,20.828901701928498
fast_duck,202046,2020,20.798001293738857,20.828901701928498
fast_duck,202047,2020,20.811273167486718,20.828901701928498
fast_duck,202048,2020,20.805630154799324,20.828901701928498
fast_duck,202049,2020,20.663820368642448,20.828901701928498
fast_duck,202050,2020,20.745800426061944,20.828901701928498
fast_duck,202051,2020,20.719344462690348,20.828901701928498
fast_duck,202052,2020,20.681713026472426,20.828901701928498
fast_duck,202053,2020,20.78721556607449,20.828901701928498
fast_duck,202101,2021,20.812870241751536,20.826754672448935
fast_duck,202102,2021,20.538557041097782,20.826754672448935
fast_duck,202103,2021,20.765487786855612,20.826754672448935
fast_duck,202104,2021,20.82430434907315,20.826754672448935
fast_duck,202105,2021,20.91101984978426,20.826754672448935
fast_duck,202106,2021,20.77250143017681,20.826754672448935
fast_duck,202107,2021,20.887991365169427,20.826754672448935
fast_duck,202108,2021,20.959049323445957,20.826754672448935
fast_duck,202109,2021,20.876305517724273,20.826754672448935
fast_duck,202110,2021,20.943421491375638,20.826754672448935
fast_duck,202111,2021,20.937198329992206,20.826754672448935
fast_duck,202112,2021,20.79346881709692,20.826754672448935
fast_duck,202113,2021,20.79755891858492,20.826754672448935
fast_duck,202114,2021,20.929413313682545,20.826754672448935
fast_duck,202115,2021,20.94185643173227,20.826754672448935
fast_duck,202116,2021,20.859636729218362,20.826754672448935
fast_duck,202117,2021,20.842190329129036,20.826754672448935
fast_duck,202118,2021,20.795547681138917,20.826754672448935
fast_duck,202119,2021,20.820480144002328,20.826754672448935
fast_duck,202120,2021,20.813384660179494,20.826754672448935
fast_duck,202121,2021,20.583867300747908,20.826754672448935
fast_duck,202122,2021,20.752315710887565,20.826754672448935
fast_duck,202123,2021,20.82153105692087,20.826754672448935
fast_duck,202124,2021,20.785654651088965,20.826754672448935
fast_duck,202125,2021,20.842403010401636,20.826754672448935
fast_duck,202126,2021,20.887606002413914,20.826754672448935
