COUNTRY,YEAR_WEEK,BAR_RESTAURANT_CLOSURE,NO_SOCIAL_GATHERING,LOCKDOWN_CURFEW,OXFORD_INDEX
FRANCE,202009,0,0,0,18.651428571
FRANCE,202010,0,0,0,43.98
FRANCE,202011,0,0,0,45.568571429
FRANCE,202012,28,12,24,83.528571429
FRANCE,202013,28,14,28,87.96
FRANCE,202014,28,14,28,87.96
FRANCE,202015,28,14,28,87.96
FRANCE,202016,28,14,28,87.96
FRANCE,202017,28,14,28,87.96
FRANCE,202018,28,14,28,87.96
FRANCE,202019,28,14,28,87.96
FRANCE,202020,21,14,16,76.85
FRANCE,202021,21,14,14,76.85
FRANCE,202022,21,14,14,75.264285714
FRANCE,202023,15,14,4,72.617142857
FRANCE,202024,14,14,0,72.22
FRANCE,202025,8,2,0,72.22
FRANCE,202026,1,0,0,51.85
FRANCE,202027,0,0,0,51.85
FRANCE,202028,0,0,0,50.264285714
FRANCE,202029,0,0,0,46.3
FRANCE,202030,0,0,0,46.3
FRANCE,202031,0,0,0,46.3
FRANCE,202032,0,0,0,46.3
FRANCE,202033,0,0,0,47.092857143
FRANCE,202034,0,0,0,48.15
FRANCE,202035,0,0,0,48.15
FRANCE,202036,0,0,0,48.015714286
FRANCE,202037,0,0,0,48.61
FRANCE,202038,0,0,0,48.61
FRANCE,202039,0,0,0,47.818571429
FRANCE,202040,0,0,0,49.54
FRANCE,202041,0,0,0,47.951428571
FRANCE,202042,0,0,6,45.568571429
FRANCE,202043,0,0,21,49.54
FRANCE,202044,15,10,25,62.037142857
FRANCE,202045,21,14,28,78.7
FRANCE,202046,21,14,28,78.7
FRANCE,202047,21,14,28,78.7
FRANCE,202048,21,14,28,77.642857143
FRANCE,202049,21,14,28,75
FRANCE,202050,21,14,28,75
FRANCE,202051,21,4,16,65.477142857
FRANCE,202052,21,0,14,63.89
FRANCE,202053,21,0,14,63.89
FRANCE,202101,21,0,14,63.89
FRANCE,202102,21,0,14,63.89
FRANCE,202103,21,0,14,63.89
FRANCE,202104,21,0,14,63.89
FRANCE,202105,21,0,14,63.89
FRANCE,202106,21,0,14,60.19
FRANCE,202107,21,0,14,60.19
FRANCE,202108,21,0,17,64.552857143
FRANCE,202109,21,0,21,66.007142857
FRANCE,202110,21,0,21,65.61
FRANCE,202111,21,0,19,65.61
FRANCE,202112,21,0,14,69.577142857
FRANCE,202113,21,0,14,68.52
FRANCE,202114,21,0,14,74.471428571
FRANCE,202115,21,0,14,75
FRANCE,202116,21,0,14,75
FRANCE,202117,21,0,14,75
FRANCE,202118,21,0,14,63.89
FRANCE,202119,21,0,14,63.89
FRANCE,202120,16,0,14,57.275714286
FRANCE,202121,14,0,14,54.63
FRANCE,202122,14,0,14,54.63
FRANCE,202123,14,0,14,54.63
FRANCE,202124,14,0,14,53.571428571
FRANCE,202125,14,0,0,47.22
FRANCE,202126,14,0,0,46.227142857
FRANCE,202127,14,0,0,45.037142857
FRANCE,202128,14,0,0,43.98
FRANCE,202129,14,0,0,43.98
FRANCE,202130,14,0,3,43.98
FRANCE,202131,14,0,7,43.98
FRANCE,202132,14,0,7,63.23
FRANCE,202133,14,0,7,66.67
FRANCE,202134,14,0,7,66.67
FRANCE,202135,14,0,7,66.67
FRANCE,202136,14,0,7,66.67
FRANCE,202137,14,0,7,66.67
FRANCE,202138,14,0,7,66.67
FRANCE,202139,14,0,7,66.67
FRANCE,202140,14,0,7,66.67
FRANCE,202141,14,0,7,66.67
FRANCE,202142,14,0,7,66.67
FRANCE,202143,14,0,7,66.67
FRANCE,202144,14,0,7,66.67
FRANCE,202145,14,0,7,66.67
FRANCE,202146,14,0,7,66.67
FRANCE,202147,14,0,7,66.67
FRANCE,202148,14,0,7,66.67
FRANCE,202149,14,0,7,65.9725
FRANCE,202150,14,0,7,72.22
FRANCE,202151,14,0,7,72.22
FRANCE,202152,14,0,7,72.22
FRANCE,202201,14,0,7,71.822857143
FRANCE,202202,14,0,7,69.44
FRANCE,202203,14,0,7,69.44
FRANCE,202204,14,0,7,69.44
FRANCE,202205,14,0,7,69.44
FRANCE,202206,14,0,7,69.44
FRANCE,202207,14,0,7,65.475714286
FRANCE,202208,14,0,7,63.89
FRANCE,202209,14,0,7,69.44
FRANCE,202210,14,0,7,69.44
FRANCE,202211,14,0,7,19.44
FRANCE,202212,2,0,1,19.44